# Coding: utf-8,
# File format version: 6,
# Title: CAMS Radiation Service v4.5 all-sky irradiation (derived from satellite data).,
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.,
#           Returns the global, beam and diffuse irradiations integrated over a selected time step
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.,
# The research leading to these results has received funding from the European Union within the Copernicus programme.,
# Provider: MINES ParisTech (France),
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service,
# Date begin (ISO 8601): 2023-01-01T00:00:00.0,
# Date end (ISO 8601): 2023-01-03T00:00:00.0,
# Latitude (positive North, ISO 19115): 52.5200
# Longitude (positive East, ISO 19115): 13.4000
# Altitude (m): 35.00,
# Elevation of CAMS cell (m): 77.29,
# Time reference: Universal time (UT),
#,
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11),
# CF Standard Names registry of ObservablePropertyValue,
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html,
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6,
# ObservableProperty,
"#     basePhenomenon:""integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time""",
"#     uom:""Wh m-2"" [unit]",
# StatisticalMeasure,
"#     statisticalFunction: ""sum""",
# Summarization (integration) period: 0 year 0 month 0 day 0 h 1 min 0 s,
# noValue: nan,
# File generated on: 2023-04-28,
#,
# Columns:,
# 1. Observation period (ISO 8601),
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2),
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2),
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2),
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2),
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2),
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2),
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2),
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2),
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2),
#11. Reliability. Proportion of reliable data in the summarization (0-1),
#12. sza. Solar zenithal angle for the middle of the summarization (deg),
#13. summer/winter split. 1.0 means summer, 0.0 means winter
#14. tco3. Total column content of ozone (Dobson unit),
#15. tcwv. Total column content of water vapour (kg/m2),
#16. AOD BC. Partial aerosol optical depth at 550 nm for black carbon,
#17. AOD DU. Partial aerosol optical depth at 550 nm for dust,
#18. AOD SS. Partial aerosol optical depth at 550 nm for sea salt,
#19. AOD OR. Partial aerosol optical depth at 550 nm for organic matter,
#20. AOD SU. Partial aerosol optical depth at 550 nm for sulphate,
#21. AOD NI. Partial aerosol optical depth at 550 nm for nitrate,
#22. AOD AM. Partial aerosol optical depth at 550 nm for ammonium,
#23. alpha. Angstroem coefficient for aerosol. Obsolete (value is always nan),
#24. Snow_probability of the pixel (percentage from 0 to 100, value of the nearest acquisition time of the pixel) -1=no value
#25. fiso. MODIS-like BRDF parameter fiso,
#26. fvol. MODIS-like BRDF parameter fvol,
#27. fgeo. MODIS-like BRDF parameter fgeo,
#28. albedo. Ground albedo,
#29. Cloud optical depth (value from 0 to 500, value of the nearest acquisition time of the pixel) nan=no value
#30. Cloud coverage of the pixel (percentage from 0 to 100, value of the nearest acquisition time of the pixel) -1=no value
#31. Cloud type (value of the nearest acquisition time of the pixel) -1=no value 0=no clouds 5=low-level cloud 6=medium-level cloud 7=high-level cloud 8=thin cloud,
#32. GHI no corr. Global irradiation without bias correction on horizontal plane at ground level (obsolete),
#33. BHI no corr. Beam irradiation without bias correction on horizontal plane at ground level (obsolete),
#34. DHI no corr. Diffuse irradiation without bias correction on horizontal plane at ground level (obsolete),
#35. BNI no corr. Beam irradiation without bias correction on mobile plane following the sun at normal incidence (obsolete),
#,
Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability;sza;summer/winter split;tco3;tcwv;AOD BC;AOD DU;AOD SS;AOD OR;AOD SU;AOD NI;AOD AM;alpha;Snow probability;fiso;fvol;fgeo;albedo;Cloud optical depth;Cloud coverage;Cloud type;GHI no corr;BHI no corr;DHI no corr;BNI no corr,
2023-01-01T00:11:00.0/2023-01-01T00:12:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.3672;20.3541;0.0021;0.0074;0.0047;0.0169;0.0526;0.0107;0.0026;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:12:00.0/2023-01-01T00:13:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.3537;20.3446;0.0021;0.0075;0.0046;0.0169;0.0526;0.0107;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:13:00.0/2023-01-01T00:14:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.3402;20.3352;0.0022;0.0075;0.0046;0.0169;0.0525;0.0107;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:14:00.0/2023-01-01T00:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.3266;20.3257;0.0022;0.0075;0.0046;0.0169;0.0525;0.0108;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:15:00.0/2023-01-01T00:16:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.3131;20.3163;0.0022;0.0076;0.0046;0.0169;0.0525;0.0108;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:16:00.0/2023-01-01T00:17:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.2996;20.3068;0.0022;0.0076;0.0046;0.0169;0.0525;0.0108;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:17:00.0/2023-01-01T00:18:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.2861;20.2973;0.0022;0.0077;0.0046;0.0169;0.0525;0.0108;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:18:00.0/2023-01-01T00:19:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.2726;20.2879;0.0022;0.0077;0.0046;0.0169;0.0525;0.0108;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:19:00.0/2023-01-01T00:20:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.2591;20.2784;0.0022;0.0078;0.0046;0.0169;0.0525;0.0108;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:20:00.0/2023-01-01T00:21:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.2456;20.2690;0.0022;0.0078;0.0046;0.0170;0.0525;0.0108;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:21:00.0/2023-01-01T00:22:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.2321;20.2595;0.0022;0.0078;0.0046;0.0170;0.0525;0.0108;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:22:00.0/2023-01-01T00:23:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.2186;20.2501;0.0022;0.0079;0.0046;0.0170;0.0524;0.0108;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:23:00.0/2023-01-01T00:24:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.2051;20.2406;0.0022;0.0079;0.0046;0.0170;0.0524;0.0108;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:24:00.0/2023-01-01T00:25:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.1916;20.2311;0.0022;0.0080;0.0046;0.0170;0.0524;0.0108;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:25:00.0/2023-01-01T00:26:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.1781;20.2217;0.0022;0.0080;0.0046;0.0170;0.0524;0.0108;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:26:00.0/2023-01-01T00:27:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.1646;20.2122;0.0022;0.0081;0.0046;0.0170;0.0524;0.0108;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:27:00.0/2023-01-01T00:28:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.1511;20.2028;0.0022;0.0081;0.0046;0.0170;0.0524;0.0108;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:28:00.0/2023-01-01T00:29:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.1376;20.1933;0.0022;0.0081;0.0046;0.0170;0.0524;0.0108;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:29:00.0/2023-01-01T00:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.1241;20.1839;0.0022;0.0082;0.0046;0.0170;0.0524;0.0108;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:30:00.0/2023-01-01T00:31:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.1106;20.1744;0.0022;0.0082;0.0046;0.0171;0.0524;0.0108;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:31:00.0/2023-01-01T00:32:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.0971;20.1650;0.0022;0.0083;0.0046;0.0171;0.0523;0.0108;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:32:00.0/2023-01-01T00:33:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.0836;20.1555;0.0022;0.0083;0.0046;0.0171;0.0523;0.0109;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:33:00.0/2023-01-01T00:34:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.0701;20.1460;0.0022;0.0084;0.0046;0.0171;0.0523;0.0109;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:34:00.0/2023-01-01T00:35:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.0565;20.1366;0.0022;0.0084;0.0046;0.0171;0.0523;0.0109;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:35:00.0/2023-01-01T00:36:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.0430;20.1271;0.0022;0.0084;0.0046;0.0171;0.0523;0.0109;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:36:00.0/2023-01-01T00:37:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.0295;20.1177;0.0022;0.0085;0.0046;0.0171;0.0523;0.0109;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:37:00.0/2023-01-01T00:38:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.0160;20.1082;0.0022;0.0085;0.0045;0.0171;0.0523;0.0109;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:38:00.0/2023-01-01T00:39:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;294.0025;20.0988;0.0022;0.0086;0.0045;0.0171;0.0523;0.0109;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:39:00.0/2023-01-01T00:40:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;293.9890;20.0893;0.0022;0.0086;0.0045;0.0171;0.0523;0.0109;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:40:00.0/2023-01-01T00:41:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;293.9755;20.0799;0.0022;0.0087;0.0045;0.0172;0.0522;0.0109;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:41:00.0/2023-01-01T00:42:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;293.9620;20.0704;0.0022;0.0087;0.0045;0.0172;0.0522;0.0109;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:42:00.0/2023-01-01T00:43:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;293.9485;20.0609;0.0022;0.0087;0.0045;0.0172;0.0522;0.0109;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:43:00.0/2023-01-01T00:44:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;293.9350;20.0515;0.0022;0.0088;0.0045;0.0172;0.0522;0.0109;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:44:00.0/2023-01-01T00:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;293.9215;20.0420;0.0022;0.0088;0.0045;0.0172;0.0522;0.0109;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:45:00.0/2023-01-01T00:46:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;293.9080;20.0326;0.0022;0.0089;0.0045;0.0172;0.0522;0.0109;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:46:00.0/2023-01-01T00:47:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;293.8945;20.0231;0.0022;0.0089;0.0045;0.0172;0.0522;0.0109;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:47:00.0/2023-01-01T00:48:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;293.8810;20.0137;0.0022;0.0090;0.0045;0.0172;0.0522;0.0109;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:48:00.0/2023-01-01T00:49:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;293.8675;20.0042;0.0022;0.0090;0.0045;0.0172;0.0522;0.0109;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
2023-01-01T00:49:00.0/2023-01-01T00:50:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0088;293.8540;19.9948;0.0022;0.0090;0.0045;0.0172;0.0521;0.0109;0.0027;nan;-1;0.1400;0.0707;0.0168;nan;nan;-1;-1;0.0000;0.0000;0.0000;0.0000,
